Country,2012 Seats in National Parliament (% female),2010 Maternal Mortality Ratio,Adolescent Fertility Rate,2006-2010 Population with at least secondary education (Female),2006-2010 Population with at least secondary education (Male),2011 Labour force participation rate (Female),2011 Labour force participation rate (Male),2010GII,2012GII,2013 Global Hunger Index (IFPRI),2011 Under-five Mortality rate  (IFPRI),2010-2012 Prevalence of undernourishment in the population  (IFPRI),2008-2012 Prevalence of underweight in children under five years  (IFPRI),MeanStuntingF,MeanStuntingM
Iraq,25.2,63,85.9,22,42.7,14.5,69.3,0.566,0.557,,3.8,,8.5,26.9,28.8
Jamaica,15.5,110,69.7,74,71.1,56,71.8,0.463,0.458,5,1.8,8.7,3.2,4.1375,6.7
Jordan,11.1,63,23.7,68.9,77.7,15.6,65.9,0.493,0.482,5,2.1,3.7,1.9,10.4,9.9
Kazakhstan,18.2,51,25.5,99.3,99.4,66.6,77.2,0.343,0.312,5,2.8,0.5,3.7,14.95,15.55
Kenya,9.8,360,98.1,25.3,52.3,61.5,71.8,0.606,0.608,18,7.3,30.4,16.4,34.2,40.43333333
Kuwait,6.3,14,14.4,53.7,46.6,43.4,82.3,0.256,0.274,5,1.1,1.6,1.7,3.883333333,4.608333333
Lebanon,3.1,25,15.4,53,55.4,22.6,70.8,,0.433,5,0.9,3.1,2.8,17,16
Lesotho,26.1,620,60.8,21.9,19.8,58.9,73.4,0.549,0.534,12.9,8.6,16.6,13.5,42.86666667,48.63333333
Liberia,11.7,770,123,15.7,39.2,57.9,64.4,0.657,0.658,17.9,7.8,31.4,14.4,39.1,45.4
Libya,16.5,58,2.6,55.6,44,30.1,76.8,0.28,0.216,5,1.6,1.8,5.7,19.6,22.2
Malawi,22.3,460,105.6,10.4,20.4,84.8,81.3,0.583,0.573,15.1,8.3,23.1,13.8,48.68,54.24
Malaysia,13.2,29,9.8,66,72.8,43.8,76.9,0.28,0.256,5.5,0.7,3,12.7,17.2,17.2
Mali,10.2,540,168.9,11.3,9.2,36.8,70,0.696,0.649,14.8,17.6,7.9,18.9,38.85,42.3
Mauritania,19.2,510,71.3,8,20.8,28.7,79.2,0.649,0.643,13.2,11.2,9.3,19,26.4,30.2
Mexico,36,50,65.5,51.2,57,44.3,80.5,0.408,0.382,5,1.6,2.1,2.8,13.55,15.55
Morocco,11,100,10.8,20.1,36.3,26.2,74.7,0.498,0.444,5,3.3,5.5,3.1,17.95,20.1
Mozambique,39.2,490,124.4,1.5,6,86,82.9,0.593,0.582,21.5,10.3,39.2,14.9,42.1,47.2
Myanmar,4.6,200,12,18,17.6,75,82.1,0.466,0.437,,6.2,,22.6,37.53333333,40.1
Namibia,25,200,54.4,33,34,58.6,69.9,0.477,0.455,18.4,4.2,33.9,17.2,27.85,31.15
Nepal,33.2,170,86.2,17.9,39.9,80.4,87.6,0.498,0.485,17.3,4.8,18,29.1,48.73333333,49.16666667
Oman,9.6,32,9.3,47.2,57.1,28.3,81.6,,0.34,,0.9,,8.6,8.5,11.3
Pakistan,21.1,260,28.1,18.3,43.1,22.7,83.3,0.569,0.567,19.3,7.2,19.9,30.9,41.4,43
Panama,8.5,92,75.9,63.5,60.7,49.6,82.5,0.509,0.503,5.4,2,10.2,3.9,18.9,19.5
Peru,21.5,67,48.7,47.3,59.1,67.8,84.7,0.384,0.387,5.5,1.8,11.2,3.4,27.43333333,32.06666667
Philippines,22.1,99,46.5,65.9,63.7,49.7,79.4,0.431,0.418,13.2,2.5,17,20.2,31.73333333,34.63333333
Romania,9.7,27,28.8,83.4,90.5,48.6,64.9,0.334,0.327,5,1.3,0.4,2,11.2,15.1
Rwanda,51.9,340,35.5,7.4,8,86.4,85.4,0.421,0.414,15.3,5.4,28.9,11.7,45.76666667,50.43333333
Saudi Arabia,0.1,24,22.1,50.3,57.9,17.7,74.1,0.656,0.682,5,0.9,2.6,9.3,7.8,10.8
Serbia,32.4,12,19.2,80.1,90.7,,,,,5,0.7,4.9,1.6,7.6,7.05
Sierra Leone,12.9,890,104.2,9.5,20.4,66.3,69.1,0.658,0.643,22.8,18.5,28.8,21.1,39.425,44.4
South Africa,41.1,300,50.4,68.9,72.2,44,60.8,0.47,0.462,5.4,4.7,2.9,8.7,30.5,35.2
Sri Lanka,5.8,35,22.1,72.6,75.5,34.7,76.3,0.412,0.402,15.6,1.2,24,21.6,18.36666667,18.3
Suriname,11.8,130,34.9,40.5,47.1,40.5,68.7,,0.467,6.7,3,11.4,5.8,9.766666667,12.83333333
Swaziland,21.9,320,67.9,49.9,46.1,43.6,70.8,0.539,0.525,14.4,10.4,27,5.8,29.43333333,35.33333333
Syrian Arab Republic,12,70,36.5,27.4,38.2,13.1,71.6,0.544,0.551,5,1.5,3.2,10.1,27.6,30.46666667
Tajikistan,17.5,65,25.7,93.2,85.8,57.4,75.1,0.345,0.338,16.3,6.3,31.7,11,33.95,38.25
Thailand,15.7,48,37,29,35.6,63.8,80,0.384,0.36,5.8,1.2,7.3,9,15,16.5
Timor-Leste,38.5,300,52.3,,,38.4,74.1,,,29.6,5.4,38.2,45.3,53.33333333,58.16666667
Tunisia,26.7,56,4.4,29.9,44.4,25.5,70,,0.261,5,1.6,0.9,2.3,8,9.9
Turkey,14.2,20,30.5,26.7,42.4,28.1,71.4,0.419,0.366,5,1.5,0.9,1.7,16.6,14.7
Ukraine,8,32,26.1,91.5,96.1,53.3,66.6,0.35,0.338,5,1,0.9,1.2,22.8,22.9
Uzbekistan,19.2,28,12.8,,,47.7,74.7,,,5.3,4.9,6.1,5,22,22.85
Zambia,11.5,440,138.5,25.7,44.2,73.2,85.6,0.617,0.623,24.1,8.3,47.4,16.7,46.9,51.45
Zimbabwe,17.9,570,53.4,48.8,62,83,89.5,0.555,0.544,16.5,6.7,32.8,10.1,30.9,37.3
