"country","region","GII_2012","maternal_mortality_ratio","adolescent_fertility_rate_gii","seats_parlim_female_gii","labor_participation_female_gii","labor_participation_male_gii","ifpri_hunger_index","ifpri_under5_mortality","ifpri_undernourishment","ifpri_under5_underweight","labor_participation_female","labor_participation_total_ilo","labor_participation_total_nat","labor_participation_ratio_ilo","secondary_school_female","secondary_school_male","secondary_school_female_ratio","contraceptive_prevalence","hiv_rate_female","married_by_18_rate","adolescent_fertility_rate","labor_participation_female_ilo","labor_force_female_percent","account_at_financial_inst_female","female_legislators_officials_mgrs","mortality_under5_female","contrib_family_workers_female","credit_card_female","educational_attainment_femae","mortality_rate_female_child","belief_beating_justified","mean_stunting","mean_malnutrition","secondary_education"
"India","Asia",1.14166127263728,-0.175829791395449,0.358539828501168,-0.724847186306835,-1.26129979867986,0.532043998124754,1.08971291928893,0.118297166677575,0.0467053104249026,2.52959207006864,-0.864284705430809,-0.332504433172678,-0.39495735218739,-1.21088116934369,0.272863018702879,0.369700844931921,-0.416894220395379,0.677623760210537,-0.0913547988626952,1.13909856130107,-0.362503844552775,-0.905516673466433,-1.22859129805615,-0.0629417524095653,-0.981899740273265,0.303715229653084,0.860987725830232,-0.649230469199948,NA,-0.351946008318954,0.284088985596659,1.28028272423914,2.45129682512888,-0.249936915750471
"Indonesia","Asia",0.199399080482642,-0.0970308514906343,-0.444293984921598,-0.0327105662885363,-0.0658570487890307,1.00939698285601,-0.281286898759338,-0.491324817699197,-0.528103131558432,0.513680449954761,0.238715710400161,0.377976960222255,0.397525764642223,-0.339131031636688,0.383601949568049,0.265852838672751,0.423080471143658,1.3730415544431,-0.2052680679967,-0.323676240605565,-0.472142299478118,0.151679815403877,-0.206308677215801,-0.429826501785238,-0.395011099054508,-0.521207195140785,0.786181897708221,-0.734804587014897,-0.348458036075902,-0.732455278244507,-0.946318556927742,0.645997487269133,0.60312537646052,-0.134744376441142
"Iraq","Asia",0.711144926221798,-0.715602529743428,0.636062628202865,0.630982083044079,-2.04210700018513,-1.02276286642849,NA,-0.365196131276416,NA,-0.428944890931822,NA,-1.34424810270481,NA,-2.11990393098441,NA,NA,-1.19560656810568,0.252925855770928,-2.00770385414656,-0.34682141152181,-0.054321415266248,-1.83089532812389,-2.32713058240881,-1.01720027204997,NA,-0.498475999435354,NA,-0.625462599174162,NA,-0.864170033256566,NA,-0.0491368026740137,-0.417922386195099,-0.486081621334594
"Jamaica","Americas",-0.0930271170825902,-0.530425020967114,0.234645721491482,-0.288706302459688,0.192617059295473,-0.681796448763305,-0.905581458763458,-0.785625086019018,-0.521644609738395,-0.923589871793099,-0.378372778857461,-0.428026604371156,-0.64341738572739,0.421739952561557,0.49329091952617,0.499614666992033,0.626239526597626,1.33969490416858,-0.156508144677348,-1.01617975441959,0.141037743845337,-0.220329517051681,0.507340926416423,1.98392591449313,NA,-0.892238970203628,-0.979844984255203,0.132070251341794,NA,-0.890512984258977,NA,-1.53274584561285,-1.01790847967584,1.05749840541041
"Jordan","Asia",0.101923681294231,-0.715602529743428,-0.90518006299763,-0.705884539183046,-1.98287335041577,-1.48647719445314,-0.905581458763458,-0.722560742807627,-0.844570700740268,-1.04491788596662,-1.72507605504681,-1.49459655452018,-1.40749493476353,-2.10053374099387,0.886702772036809,0.907275317908657,0.603026219692688,0.99536071093943,-2.00770385414656,-0.921747457081317,-0.897380437164673,-1.72340632961796,-2.38130507961464,-0.523012992452864,NA,-0.802780716137093,-1.05697776994891,-0.522810855576845,0.770877532622003,-0.92563691892886,-0.728346222102968,-1.21981966965724,-1.04362216939644,1.08629654023774
"Kazakhstan","Asia",-1.27897780720825,-0.762881893686317,-0.860578184474143,-0.0327105662885363,0.763414047982084,0.0546910133934951,-0.905581458763458,-0.575410608647717,-1.05124339898147,-0.876925250957129,0.404493418231888,0.0704973492088102,0.205157985650161,0.865079192755485,1.00295389705741,1.03490793821839,0.342361050616468,0.279618428889467,-0.24562110798513,-1.12172173379767,-0.919141246518644,0.32728944335246,0.98593837836599,0.805653283619711,0.919334290540696,-0.756585060348636,-1.0478502703739,0.262907281962153,1.89775009065523,-0.957833859042919,-1.02879457551009,-0.88250426730614,-0.912910913316711,2.08655175657375
"Kenya","Africa",1.12541537277254,0.454561727843067,0.938364249306499,-0.829141745487674,0.4887853081423,-0.681796448763305,0.685757615756848,0.370554539523136,0.879854625209736,0.308356118276495,-0.231630473250481,-0.506592178600603,-0.594875944580091,0.842270873911582,NA,NA,0.130153878658884,-0.0425990608986096,0.89561330418765,-0.0774116220567266,0.592979226306416,-0.160171012368124,0.710021162188916,0.576240811070834,NA,0.528094129197016,NA,-0.187859068286782,-0.897047240265385,-0.133884891578597,0.693102710402992,0.576991133716261,0.159921363359567,-0.238417661819538
"Kuwait","Asia",-1.58764990463822,-0.908659932510224,-1.13562310203565,-1.16098807015398,-0.485877474426349,0.750262505430472,-0.905581458763458,-0.932775220178928,-0.980199658961055,-1.06358373430101,-0.856188595661483,-0.908463538427131,-0.647612382669608,-0.611573130389592,0.933142476783557,0.873655805366016,0.46800845794616,-1.52594348134313,-2.00770385414656,NA,-1.1864627158247,-0.860397824482502,-1.53351226944049,2.61291696906354,-1.02144907398601,-1.04329143198811,-1.08396342090938,5.65462724445665,0.247682650252228,NA,NA,-1.61032287646402,-1.07897849276227,0.197394111900756
"Lebanon","Asia",-0.296100865391779,-0.865320515562576,-1.11084428063371,-1.46439042413461,-1.60593194279253,-0.818183015829379,-0.905581458763458,-0.974818115653188,-0.883321831660493,-0.960921568461874,-1.21762260118961,-1.33859587151644,-1.14501184053049,-1.68696666869281,0.452651854202893,0.154511870277841,0.624889736014579,0.743401886824079,-0.518004127907031,-1.15505077991706,-1.22001024482009,-1.27708364573684,-1.75921745018429,-0.0926981776878127,-1.38271976603897,-0.990496396801298,-0.838050053145041,-0.258810729391386,0.14963749947073,NA,NA,-0.799828923592635,-0.925767758177013,0.35290403996835
"Lesotho","Africa",0.524317077777344,1.47894794660566,0.0141142110142407,0.716313995101129,0.348778499596527,-0.463577941457586,0.0614630557527277,0.643833360105827,-0.0114213859554345,0.0377013174278724,NA,0.257019893655012,NA,0.653227596603021,-0.709751052111315,-0.697800960696411,2.21715062019081,0.188863680286434,0.98598729999507,-0.332934308972063,0.371250830716886,0.232628329150246,0.767291776863886,-0.547761065124561,NA,0.918924042454912,NA,-0.521476241961979,-1.02846616469676,-0.527565659336861,0.359832267968202,1.13477411930337,0.0127819166250045,-0.927653022020354
