"country","region","GII_2012","maternal_mortality_ratio","adolescent_fertility_rate_gii","seats_parlim_female_gii","labor_participation_female_gii","labor_participation_male_gii","ifpri_hunger_index","ifpri_under5_mortality","ifpri_undernourishment","ifpri_under5_underweight","labor_participation_female","labor_participation_total_ilo","labor_participation_total_nat","labor_participation_ratio_ilo","secondary_school_female","secondary_school_male","secondary_school_female_ratio","contraceptive_prevalence","hiv_rate_female","married_by_18_rate","adolescent_fertility_rate","labor_participation_female_ilo","labor_force_female_percent","account_at_financial_inst_female","female_legislators_officials_mgrs","mean_stunting","mean_malnutrition","secondary_education"
"Ecuador","Americas",0.442,110,80.6,32.3,54.3,82.7,8.5,2.3,18.3,5,42.82857132,55.0538459192308,53.0285715385714,64.7054356769231,76.9291866666667,81.6192955555556,101.267818181818,37.35,19.9384615384615,22.2,82.5220146153846,44.1692308279077,39.5864083021,33.15992,29.23790955945,28.9,6.25,36.6
"El Salvador","Americas",0.441,81,76.2,26.2,47.4,78.6,6.8,1.5,12.3,6.6,32.6250004775,47.8538460338462,47.22500038,58.2018920676923,92.710966,92.363146,101.645307692308,47.2666666666667,35.3153846153846,26.4,85.6043676923077,32.4692307985769,40.5630676771308,10.13223,29.8183508804545,22.55,6.35,37.8
"Eritrea","Africa",NA,240,53.7,22,79.8,90,35,6.8,65.4,32.8,NA,77.5923092184615,NA,87.0109119284615,79.8530227272727,85.1059781818182,69.7142307692308,4.5,56.1692307692308,47,80.7159076923077,74.2923079270615,47.7521505471923,NA,NA,43.6,34.45,NA
"Ethiopia","Africa",NA,350,48.3,25.5,78.4,89.8,25.7,7.7,40.2,29.2,76.09999847,78.3615382261538,78.90000153,85.3383344053846,87.1814955555556,87.1020577777778,61.6335,15.1,58.8846153846154,46.4333333333333,93.7409076923077,75.0461531418923,46.5052845421385,NA,19.6547302374,50.7666666666667,35.25,NA
"Fiji","Oceania",NA,26,42.8,NA,39.3,79.5,5,1.6,3.8,5.8,31.39999962,41.8461538453846,41.20000076,51.6181530515385,98.4916283333333,98.9401916666667,108.3632,27.7175,16.7,NA,43.4486769230769,31.3692308572692,33.4505081696846,NA,25.4650236309,7.45,5.3,57.8
"Gabon","Africa",0.492,230,81,16.7,56.3,65,7.2,6.6,6.5,8.6,NA,26.2692307692308,NA,84.7043007046154,NA,NA,NA,15.55,64.4769230769231,27.75,117.441830769231,24.0999997945846,46.2416358026308,17.17236,NA,21.875,7.6,44.25
"Georgia","Asia",0.438,67,39.5,6.6,55.8,74.2,9.3,2.1,24.7,1.1,26.1444445711111,32.8692312984615,35.8769231938462,75.4102285861538,97.9320325,99.03159875,98.0325,33.5666666666667,26.0461538461538,15.6,49.5653084615385,24.9692306518692,46.9056047515231,34.92281,27.075414866025,12.95,1.7,91.2
"Ghana","Africa",0.565,350,62.4,8.3,66.9,71.8,8.2,7.8,3.4,13.4,47,42.9923075153846,46.39999962,94.4388350684615,90.84667,89.1960990909091,86.203,20.72,53.8230769230769,23.8,69.5753861538462,43.1461533766615,49.4238784562615,27.0883,NA,30.7333333333333,15.65,53.75
"Guatemala","Americas",0.539,120,102.4,13.3,49,88.3,15.5,3,30.4,13,36.400000575,58.7000001769231,54.77499962,52.3386749376923,90.9487822222222,94.0292244444444,90.9131818181818,33.1333333333333,36.2846153846154,32.65,108.3132,39.0999996478769,36.6228720044308,15.58662,NA,51.15,15.375,15
"Guinea","Africa",NA,610,133.7,NA,65.4,78.3,16.9,12.6,17.3,20.8,72.90000153,53.8153847923077,78.30000305,82.0311433630769,51.92198,60.436665,49.140125,5.8,56.6384615384615,63.1,153.047615384615,50.7846154433077,45.3916924974077,2.934914,NA,38.3666666666667,19.85,NA
"Guinea-Bissau","Africa",NA,790,96.2,10,68,78.2,14.3,16.1,8.7,18.1,NA,54.5615381092308,NA,84.6332933584615,NA,NA,54.534,8.16666666666667,54.0461538461538,23.05,120.177538461538,52.3769226074231,46.4313688524846,NA,NA,37.2,18.65,NA
"Guyana","Americas",0.49,280,53.9,31.3,41.8,79.1,6.6,3.6,5.1,11.1,31.60000038,47.8384613623077,48.90000153,49.3569702653846,93.4932733333333,93.89165,108.251125,28.075,47.7153846153846,21.4,93.2685115384615,30.5461535820615,33.5344780363308,NA,25.4372500821,17.1333333333333,11.1833333333333,55.15
"Haiti","Americas",0.592,350,41.3,4,60.1,70.6,23.3,7,44.5,18.4,31.700000765,35.6384617723077,35,84.2055934461538,NA,NA,NA,22.5,54.2923076923077,23.8333333333333,48.1538923076923,32.4076921022769,47.1296977235769,21.07225,NA,29.075,16.425,29.4
"Honduras","Americas",0.483,100,85.9,19.5,42.3,82.8,7.9,2.1,9.6,12.1,31.1571429114286,51.1692305346154,51.08571516,48.7613134661538,76.72466,71.8440166666667,123.659666666667,50.55,39.5923076923077,36.2,95.16583,31.3999999119769,33.3402770434077,14.92036,NA,32.15,10.55,19.75
"India","Asia",0.61,200,74.7,10.9,29,80.7,21.3,6.1,17.5,40.2,24.259999848,43.2461541976923,41.18000107,40.0959199030769,86.310042,87.789092,82.9405,41.525,35.0692307692308,47.4,55.5618153846154,24.2076922196462,27.4081836279615,26.4905,14.3088465036333,47.95,43.5,38.5
"Indonesia","Asia",0.494,220,42.3,18.2,51.2,84.2,10.1,3.2,8.6,18.6,43.3333339716667,52.9153847323077,52.20000013,59.5458544207692,88.327007,85.929654,99.6628181818182,53.683,32.9846153846154,21.0666666666667,50.4287538461538,42.5923077509923,37.5392344625154,19.20753,20.9106737933,38.36,21.9375,41.5
"Iraq","Asia",0.557,63,85.9,25.2,14.5,69.3,NA,3.8,NA,8.5,NA,29.4769226969231,NA,19.8143823107692,NA,NA,67.4378,34.1,0,20.65,69.9903238461538,8.11538490885385,16.5214120966385,7.547668,NA,27.85,10.025,32.35
"Jamaica","Americas",0.458,110,69.7,15.5,56,71.8,5,1.8,8.7,3.2,32.6624994275,41.9461540807692,37.72500085875,76.5219238,90.3248483333333,90.1152483333333,103.707333333333,53.1,33.8769230769231,8.6,79.1366638461539,36.1230765122692,44.6116626394846,67.12254,NA,5.41875,3.025,72.55
"Jordan","Asia",0.482,63,23.7,11.1,15.6,65.9,5,2.1,3.7,1.9,9.375,27.4307694061538,27.099999905,20.2465576676923,97.4903314285714,97.4145671428572,103.2452,47.08,0,10.3,30.5199223076923,9.98461539929231,15.9845306375,17.3577,NA,10.15,2.725,73.3
"Kazakhstan","Asia",0.312,51,25.5,18.2,66.6,77.2,5,2.8,0.5,3.7,46.19999981,48.7307695246154,49.5249996175,86.4134269015385,99.6076938461539,99.6998776923077,98.0558461538462,34.5666666666667,32.2461538461538,6.7,29.5011230769231,45.6461539635231,49.3546710954077,43.73284,35.6955591219,15.25,4.25,99.35
"Kenya","Africa",0.608,360,98.1,9.8,61.5,71.8,18,7.3,30.4,16.4,35.20000076,40.8769231953846,38.40000153,85.9045422007692,NA,NA,93.8312,28.9333333333333,53.1307692307692,25.5,100.295694615385,37.1692311213615,46.6202693886462,39.17881,NA,37.3166666666667,16.7666666666667,38.8
"Kuwait","Asia",0.274,14,14.4,6.3,43.4,82.3,5,1.1,1.6,1.7,24.39999962,35.4076922492308,37.6666666666667,53.4672996246154,98.33617,96.812597,100.55725,3,0,NA,16.9856461538462,24.9923076629615,24.3863481798769,79.60854,13.8639616443,4.24583333333333,2.3125,50.15
"Lebanon","Asia",0.433,25,15.4,3.1,22.6,70.8,5,0.9,3.1,2.8,18.15000057,29.5538462123077,30.75,29.4738030984615,89.5846608333333,83.9360516666667,103.680461538462,42.675,27.2615384615385,6.1,15.4150153846154,17.7461536114,22.1495590443462,25.89981,9.80007874345,16.5,4.1,54.2
"Lesotho","Africa",0.534,620,60.8,26.1,58.9,73.4,12.9,8.6,16.6,13.5,NA,51.2692307692308,NA,81.6867288553846,68.41301,68.6750666666667,135.379384615385,32.98,54.7846153846154,20.9,89.9147976923077,44,47.1878340686769,16.86643,NA,45.75,15.05,20.85
"Liberia","Africa",0.658,770,123,11.7,57.9,64.4,17.9,7.8,31.4,14.4,34.70000076,35.0999999392308,34.90000153,92.0677945546154,74.08769,80.67959,77.3535,5.7,54.9307692307692,37.9,138.619276923077,34.7153842632615,48.2612229008308,14.68394,NA,42.25,21.475,27.45
"Libya","Africa",0.216,58,2.6,16.5,30.1,76.8,5,1.6,1.8,5.7,NA,36.9461537876923,NA,38.9428237007692,NA,NA,112.458,1,0,NA,3.26153846153846,23.7461540515692,26.9860269525769,NA,NA,20.9,5.55,49.8
"Madagascar","Africa",NA,240,122.7,15.9,83.4,88.7,25.2,6.2,33.4,36,70.20000076,76.33846107,70.45000076,94.8468189546154,56.5313433333333,58.1173608333333,94.8753333333333,23.3333333333333,44.1461538461538,43.5,137.7422,75.7307686438846,49.1565498228154,4.611975,22.1034276668,51,36.85,NA
"Malawi","Africa",0.573,460,105.6,22.3,84.8,81.3,15.1,8.3,23.1,13.8,81.80000305,62.8846156792308,80.30000305,98.7817681115385,73.312165,76.142656,83.8186666666667,30.4,54.1,48.9,154.861292307692,65.7846154433,50.2536116828692,16.88244,NA,51.46,16.31,15.4
"Malaysia","Asia",0.256,29,9.8,13.2,43.8,76.9,5.5,0.7,3,12.7,35.5,43.5153849646154,43.9666671733333,57.4152651653846,98.7829885714286,100,103.188,25,11.6230769230769,NA,11.3428461538462,35.7538460951615,37.0788056853462,63.09647,23.69303219141,17.2,12.95,69.4
"Mali","Africa",0.649,540,168.9,10.2,36.8,70,14.8,17.6,7.9,18.9,46.80000019,47.9846156184615,52.850000385,57.0734663215385,58.552382,64.503026,64.8448181818182,6.775,55.4307692307692,63.6666666666667,181.466984615385,37.6538463005846,36.7821085894308,6.909979,NA,40.575,28.95,10.25
"Mauritania","Africa",0.643,510,71.3,19.2,28.7,79.2,13.2,11.2,9.3,19,NA,39.06153899,NA,33.1691289438462,42.49758375,48.45951,83.0429166666667,6.1,54.5846153846154,35.6333333333333,84.5329092307692,20.6923075455923,25.0148059000385,12.08743,NA,28.3,22.25,14.4
"Mexico","Americas",0.382,50,65.5,36,44.3,80.5,5,1.6,2.1,2.8,33.7538458015385,48.6076924269231,47.7999998238462,51.3919951823077,92.7107927272727,94.3693227272727,103.7405,61.3333333333333,21.0307692307692,22.8,70.1798769230769,34.0615384028462,36.5174328382462,21.96588,26.4804771404667,14.55,3.125,54.1
"Mongolia","Asia",0.328,63,18.7,12.7,54.3,65.5,10.8,3.1,24.2,5,34.739999771,38.5769230769231,38.549999618,83.9275750992308,98.707592,96.994407,112.318,49.42,47.1769230769231,5.86666666666667,20.3813230769231,33.7230771871769,46.2007202614615,82.365,44.88292975164,26.7833333333333,7.21666666666667,82.4
